 Container benchi-conduit  Creating
 Container benchi-conduit  Created
Attaching to benchi-conduit
benchi-conduit  | {"level":"info","component":"badger.DB","time":1742314696680,"message":"All 0 tables opened in 0s"}
benchi-conduit  | {"level":"info","component":"badger.DB","time":1742314696681,"message":"Discard stats nextEmptySlot: 0"}
benchi-conduit  | {"level":"info","component":"badger.DB","time":1742314696681,"message":"Set nextTxnTs to 0"}
benchi-conduit  | {"level":"info","component":"plugin.processor.standalone.Registry","time":1742314696681,"message":"loading processor plugins from directory /app/processors ..."}
benchi-conduit  | {"level":"warn","component":"plugin.processor.standalone.Registry","error":"open /app/processors: no such file or directory","time":1742314696681,"message":"could not read processor plugin directory"}
benchi-conduit  | {"level":"info","component":"plugin.processor.standalone.Registry","plugin_path":"/app/processors","count":0,"time":1742314696681,"message":"standalone processor plugins initialized"}
benchi-conduit  | {"level":"info","component":"plugin.processor.builtin.Registry","count":17,"time":1742314696681,"message":"builtin processor plugins initialized"}
benchi-conduit  | {"level":"info","component":"processor.Service","count":0,"time":1742314696682,"message":"processors initialized"}
benchi-conduit  | {"level":"info","address":"[::]:41981","time":1742314696682,"message":"connector utilities started"}
benchi-conduit  | {"level":"info","time":1742314696682,"message":"connector utilities started on [::]:41981"}
benchi-conduit  | {"level":"info","component":"plugin.connector.builtin.Registry","count":6,"time":1742314696682,"message":"builtin connector plugins initialized"}
benchi-conduit  | {"level":"warn","component":"plugin.connector.standalone.Registry","error":"open /app/connectors: no such file or directory","time":1742314696682,"message":"could not read connector plugin directory"}
benchi-conduit  | {"level":"info","component":"plugin.connector.standalone.Registry","plugin_path":"/app/connectors","count":0,"time":1742314696682,"message":"standalone connector plugins initialized"}
benchi-conduit  | {"level":"info","component":"connector.Service","count":0,"time":1742314696682,"message":"connectors initialized"}
benchi-conduit  | {"level":"info","component":"pipeline.Service","count":0,"time":1742314696682,"message":"pipelines initialized"}
benchi-conduit  | {"level":"info","component":"lifecycle.Service","pipeline_id":"postgres-to-kafka","time":1742314696683,"message":"pipeline started"}
benchi-conduit  | {"level":"info","component":"provisioning.Service","created":["postgres-to-kafka"],"deleted":[],"pipelines_path":"/app/pipelines","time":1742314696683,"message":"pipeline configs provisioned"}
benchi-conduit  | {"level":"info","address":"[::]:8084","time":1742314696683,"message":"grpc API started"}
benchi-conduit  | {"level":"info","address":"[::]:8080","time":1742314696683,"message":"http API started"}
benchi-conduit  | {"level":"info","time":1742314696683}
benchi-conduit  | {"level":"info","time":1742314696683,"message":"click here to navigate to explore the HTTP API: http://localhost:8080/openapi"}
benchi-conduit  | {"level":"info","time":1742314696683}
benchi-conduit  | {"level":"info","connector_id":"postgres-to-kafka-dlq","component":"connector.Destination","time":1742314696684,"message":"destination connector plugin successfully started"}
benchi-conduit  | {"level":"error","stack":[{"func":"github.com/conduitio/conduit/pkg/lifecycle.(*Service).runPipeline.func2","file":"/app/pkg/lifecycle/service.go","line":743},{"func":"github.com/conduitio/conduit/pkg/lifecycle/stream.(*SourceNode).Run","file":"/app/pkg/lifecycle/stream/source.go","line":120},{"func":"github.com/conduitio/conduit/pkg/connector.(*Source).open","file":"/app/pkg/connector/source.go","line":308}],"error":"node postgres-to-kafka:postgres-source stopped with error: could not open source connector: could not open source connector plugin: failed to find primary key for table employees: failed to query table keys: failed to connect to `user=meroxauser database=meroxadb`:\n\thostname resolving error: lookup benchi-postgres on 127.0.0.11:53: no such host\n\tlookup benchi-postgres on 127.0.0.11:53: no such host","component":"lifecycle.Service","node_id":"postgres-to-kafka:postgres-source","time":1742314696689,"message":"node stopped"}
